"Munic�pio";"Popula��o_residente"
"110001 ALTA FLORESTA D'OESTE";22728
"110002 ARIQUEMES";109523
"110003 CABIXI";5188
"110004 CACOAL";85893
"110005 CEREJEIRAS";16204
"110006 COLORADO DO OESTE";15544
"110007 CORUMBIARA";7220
"110008 COSTA MARQUES";18798
"110009 ESPIGAO D'OESTE";32695
"110010 GUAJARA-MIRIM";46556
"110011 JARU";51620
"110012 JI-PARANA";130009
"110013 MACHADINHO D'OESTE";40867
"110014 NOVA BRASILANDIA D'OESTE";20489
"110015 OURO PRETO DO OESTE";35737
"110018 PIMENTA BUENO";36881
"110020 PORTO VELHO";539354
"110025 PRESIDENTE MEDICI";18571
"110026 RIO CRESPO";3804
"110028 ROLIM DE MOURA";55407
"110029 SANTA LUZIA D'OESTE";6216
"110030 VILHENA";102211
"110032 SAO MIGUEL DO GUAPORE";23077
"110033 NOVA MAMORE";31392
"110034 ALVORADA D'OESTE";14106
"110037 ALTO ALEGRE DOS PARECIS";13255
"110040 ALTO PARAISO";21847
"110045 BURITIS";40356
"110050 NOVO HORIZONTE DO OESTE";8329
"110060 CACAULANDIA";6269
"110070 CAMPO NOVO DE RONDONIA";14266
"110080 CANDEIAS DO JAMARI";27388
"110090 CASTANHEIRAS";2987
"110092 CHUPINGUAIA";11472
"110094 CUJUBIM";26183
"110100 GOVERNADOR JORGE TEIXEIRA";7445
"110110 ITAPUA DO OESTE";10641
"110120 MINISTRO ANDREAZZA";9559
"110130 MIRANTE DA SERRA";10818
"110140 MONTE NEGRO";16007
"110143 NOVA UNIAO";6895
"110145 PARECIS";6198
"110146 PIMENTEIRAS DO OESTE";2148
"110147 PRIMAVERA DE RONDONIA";2776
"110148 SAO FELIPE D'OESTE";5066
"110149 SAO FRANCISCO DO GUAPORE";20681
"110150 SERINGUEIRAS";11851
"110155 TEIXEIROPOLIS";4233
"110160 THEOBROMA";10395
"110170 URUPA";11272
"110175 VALE DO ANARI";11377
"110180 VALE DO PARAISO";6656
"120001 ACRELANDIA";15490
"120005 ASSIS BRASIL";7534
"120010 BRASILEIA";26702
"120013 BUJARI";10420
"120017 CAPIXABA";12008
"120020 CRUZEIRO DO SUL";89072
"120025 EPITACIOLANDIA";18696
"120030 FEIJO";34884
"120032 JORDAO";8473
"120033 MANCIO LIMA";19311
"120034 MANOEL URBANO";9581
"120035 MARECHAL THAUMATURGO";19299
"120038 PLACIDO DE CASTRO";19955
"120039 PORTO WALTER";12241
"120040 RIO BRANCO";413418
"120042 RODRIGUES ALVES";19351
"120043 SANTA ROSA DO PURUS";6717
"120045 SENADOR GUIOMARD";23236
"120050 SENA MADUREIRA";46511
"120060 TARAUACA";43151
"120070 XAPURI";19596
"120080 PORTO ACRE";18824
"130002 ALVARAES";16220
"130006 AMATURA";11736
"130008 ANAMA";13956
"130010 ANORI";21477
"130014 APUI";22359
"130020 ATALAIA DO NORTE";20398
"130030 AUTAZES";40290
"130040 BARCELOS";27638
"130050 BARREIRINHA";32483
"130060 BENJAMIN CONSTANT";43935
"130063 BERURI";20093
"130068 BOA VISTA DO RAMOS";19626
"130070 BOCA DO ACRE";34635
"130080 BORBA";41748
"130083 CAAPIRANGA";13283
"130090 CANUTAMA";15807
"130100 CARAUARI";28508
"130110 CAREIRO";38348
"130115 CAREIRO DA VARZEA";30846
"130120 COARI";85910
"130130 CODAJAS";29168
"130140 EIRUNEPE";35700
"130150 ENVIRA";20393
"130160 FONTE BOA";17005
"130165 GUAJARA";16937
"130170 HUMAITA";56144
"130180 IPIXUNA";30436
"130185 IRANDUBA";49011
"130190 ITACOATIARA";102701
"130195 ITAMARATI";7814
"130200 ITAPIRANGA";9230
"130210 JAPURA";2251
"130220 JURUA";15106
"130230 JUTAI";13886
"130240 LABREA";46882
"130250 MANACAPURU";98502
"130255 MANAQUIRI";33049
"130260 MANAUS";2219580
"130270 MANICORE";56583
"130280 MARAA";18261
"130290 MAUES";65040
"130300 NHAMUNDA";21443
"130310 NOVA OLINDA DO NORTE";38026
"130320 NOVO AIRAO";19928
"130330 NOVO ARIPUANA";26046
"130340 PARINTINS";115363
"130350 PAUINI";19522
"130353 PRESIDENTE FIGUEIREDO";37193
"130356 RIO PRETO DA EVA";34106
"130360 SANTA ISABEL DO RIO NEGRO";25865
"130370 SANTO ANTONIO DO ICA";21243
"130380 SAO GABRIEL DA CACHOEIRA";46303
"130390 SAO PAULO DE OLIVENCA";40073
"130395 SAO SEBASTIAO DO UATUMA";14352
"130400 SILVES";9230
"130406 TABATINGA";67182
"130410 TAPAUA";17015
"130420 TEFE";59547
"130423 TONANTINS";18897
"130426 UARINI";13690
"130430 URUCARA";16130
"130440 URUCURITUBA";23585
"140002 AMAJARI";13185
"140005 ALTO ALEGRE";15380
"140010 BOA VISTA";419652
"140015 BONFIM";12557
"140017 CANTA";18799
"140020 CARACARAI";22283
"140023 CAROEBE";10383
"140028 IRACEMA";12296
"140030 MUCAJAI";18172
"140040 NORMANDIA";11532
"140045 PACARAIMA";18913
"140047 RORAINOPOLIS";30782
"140050 SAO JOAO DA BALIZA";8348
"140060 SAO LUIZ";8110
"140070 UIRAMUTA";10789
"150010 ABAETETUBA";159080
"150013 ABEL FIGUEIREDO";7486
"150020 ACARA";55669
"150030 AFUA";39567
"150034 AGUA AZUL DO NORTE";27615
"150040 ALENQUER";57092
"150050 ALMEIRIM";34076
"150060 ALTAMIRA";115969
"150070 ANAJAS";29688
"150080 ANANINDEUA";535547
"150085 ANAPU";28607
"150090 AUGUSTO CORREA";46471
"150095 AURORA DO PARA";31773
"150100 AVEIRO";16404
"150110 BAGRE";31325
"150120 BAIAO";48459
"150125 BANNACH";3262
"150130 BARCARENA";127027
"150140 BELEM";1499641
"150145 BELTERRA";17839
"150150 BENEVIDES";63768
"150157 BOM JESUS DO TOCANTINS";17118
"150160 BONITO";16530
"150170 BRAGANCA";128914
"150172 BRASIL NOVO";14983
"150175 BREJO GRANDE DO ARAGUAIA";7368
"150178 BREU BRANCO";67332
"150180 BREVES";103497
"150190 BUJARU";29427
"150195 CACHOEIRA DO PIRIA";34609
"150200 CACHOEIRA DO ARARI";24064
"150210 CAMETA";139364
"150215 CANAA DOS CARAJAS";38103
"150220 CAPANEMA";69431
"150230 CAPITAO POCO";54425
"150240 CASTANHAL";203251
"150250 CHAVES";23948
"150260 COLARES";12131
"150270 CONCEICAO DO ARAGUAIA";47991
"150275 CONCORDIA DO PARA";33781
"150276 CUMARU DO NORTE";13761
"150277 CURIONOPOLIS";17846
"150280 CURRALINHO";34994
"150285 CURUA";14587
"150290 CURUCA";40584
"150293 DOM ELISEU";60469
"150295 ELDORADO DOS CARAJAS";33940
"150300 FARO";7070
"150304 FLORESTA DO ARAGUAIA";20525
"150307 GARRAFAO DO NORTE";26111
"150309 GOIANESIA DO PARA";41081
"150310 GURUPA";33755
"150320 IGARAPE-ACU";39023
"150330 IGARAPE-MIRI";63036
"150340 INHANGAPI";11861
"150345 IPIXUNA DO PARA";65625
"150350 IRITUIA";32595
"150360 ITAITUBA";101395
"150370 ITUPIRANGA";53355
"150375 JACAREACANGA";7590
"150380 JACUNDA";59842
"150390 JURUTI";58960
"150400 LIMOEIRO DO AJURU";29282
"150405 MAE DO RIO";30235
"150410 MAGALHAES BARATA";8573
"150420 MARABA";283542
"150430 MARACANA";29516
"150440 MARAPANIM";28450
"150442 MARITUBA";133685
"150445 MEDICILANDIA";31975
"150450 MELGACO";27890
"150460 MOCAJUBA";31530
"150470 MOJU";83182
"150475 MOJUI DOS CAMPOS";16184
"150480 MONTE ALEGRE";58162
"150490 MUANA";40906
"150495 NOVA ESPERANCA DO PIRIA";21444
"150497 NOVA IPIXUNA";16854
"150500 NOVA TIMBOTEUA";15506
"150503 NOVO PROGRESSO";25766
"150506 NOVO REPARTIMENTO";77214
"150510 OBIDOS";52306
"150520 OEIRAS DO PARA";32850
"150530 ORIXIMINA";74016
"150540 OUREM";17961
"150543 OURILANDIA DO NORTE";33335
"150548 PACAJA";48414
"150549 PALESTINA DO PARA";7582
"150550 PARAGOMINAS";114503
"150553 PARAUAPEBAS";213576
"150555 PAU D'ARCO";5410
"150560 PEIXE-BOI";8081
"150563 PICARRA";12979
"150565 PLACAS";31659
"150570 PONTA DE PEDRAS";31549
"150580 PORTEL";62945
"150590 PORTO DE MOZ";41801
"150600 PRAINHA";29846
"150610 PRIMAVERA";10857
"150611 QUATIPURU";13702
"150613 REDENCAO";85563
"150616 RIO MARIA";18201
"150618 RONDON DO PARA";52803
"150619 RUROPOLIS";51500
"150620 SALINOPOLIS";40922
"150630 SALVATERRA";24075
"150635 SANTA BARBARA DO PARA";21449
"150640 SANTA CRUZ DO ARARI";10314
"150650 SANTA IZABEL DO PARA";71837
"150655 SANTA LUZIA DO PARA";19843
"150658 SANTA MARIA DAS BARREIRAS";21850
"150660 SANTA MARIA DO PARA";24995
